Week,Keyword status,Keyword,Campaign,Ad group,Currency code,Status,Policy details,Final URL,Mobile final URL,Impr.,CTR,Cost,Clicks,Conv. rate,Conversions,Avg. CPC,Cost / conv.
1/6/20,Enabled, +como +sacar +cuenta +bancaria,cuenta-digital_brand,primera_cuenta_bro,MXN,Eligible,Approved,,,74,0.0676,14.04,5,0,0,2.81,0
1/13/20,Enabled, +como +sacar +cuenta +bancaria,cuenta-digital_brand,primera_cuenta_bro,MXN,Eligible,Approved,,,56,0.1071,23.53,6,0,0,3.92,0
10/28/19,Enabled,[cuenta digital banco santander],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Low search volume,Approved,,,0,0,0,0,0,0,0,0
11/25/19,Enabled,[cuenta digital banco santander],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Low search volume,Approved,,,0,0,0,0,0,0,0,0
12/2/19,Enabled,[cuenta digital banco santander],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Low search volume,Approved,,,0,0,0,0,0,0,0,0
12/16/19,Enabled,[cuenta digital banco santander],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Low search volume,Approved,,,0,0,0,0,0,0,0,0
12/23/19,Enabled,[cuenta digital banco santander],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Low search volume,Approved,,,0,0,0,0,0,0,0,0
12/30/19,Enabled,[cuenta digital banco santander],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Low search volume,Approved,,,0,0,0,0,0,0,0,0
1/13/20,Enabled,[cuenta digital banco santander],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Low search volume,Approved,,,0,0,0,0,0,0,0,0
11/11/19,Enabled,[cuenta superdigital santander],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Eligible,Approved,,,0,0,0,0,0,0,0,0
11/18/19,Enabled,[cuenta superdigital santander],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Eligible,Approved,,,2,0,0,0,0,1,0,0
12/16/19,Enabled,[cuenta superdigital santander],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Eligible,Approved,,,7,0.1429,1.36,1,0,0,1.36,0
12/23/19,Enabled,[cuenta superdigital santander],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Eligible,Approved,,,0,0,0,0,0,0,0,0
10/28/19,Enabled, +primera +cuenta +bancaria,cuenta-digital_brand,primera_cuenta_bro,MXN,Eligible,Approved,,,0,0,0,0,0,0,0,0
12/2/19,Enabled, +primera +cuenta +bancaria,cuenta-digital_brand,primera_cuenta_bro,MXN,Eligible,Approved,,,15,0.0667,8.01,1,0,0,8.01,0
12/23/19,Enabled, +primera +cuenta +bancaria,cuenta-digital_brand,primera_cuenta_bro,MXN,Eligible,Approved,,,7,0,0,0,0,0,0,0
12/30/19,Enabled, +primera +cuenta +bancaria,cuenta-digital_brand,primera_cuenta_bro,MXN,Eligible,Approved,,,8,0,0,0,0,0,0,0
1/6/20,Enabled, +primera +cuenta +bancaria,cuenta-digital_brand,primera_cuenta_bro,MXN,Eligible,Approved,,,1,0,0,0,0,0,0,0
1/13/20,Enabled, +primera +cuenta +bancaria,cuenta-digital_brand,primera_cuenta_bro,MXN,Eligible,Approved,,,7,0,0,0,0,0,0,0
11/4/19,Enabled,[cuenta bancaria digital],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Eligible,Approved,,,0,0,0,0,0,0,0,0
12/2/19,Enabled,[cuenta bancaria digital],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Eligible,Approved,,,28,0.2857,262.24,8,0,0,32.78,0
12/9/19,Enabled,[cuenta bancaria digital],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Eligible,Approved,,,11,0.1818,12.35,2,3.5,7,6.18,1.76
